Time,----------,RSRP,RSRQ,RSSI,SINR0,PCI,DL EARFCN,Bandwidth,TAC,Tx Antennas,Pmax,QRxLevMin,Intra PCI,Inter Freq./ PCI,PLMNID (MCC/MNC),eNB/Sector ID,eNB,RF Band (LTE),CP distribution,Timing advance,Carrier Aggregation DL,EMM State,QCI,Num of Subframes,Avg RB count,Sched Thrpt,PDSCH Thrpt,Bytes Transferred,BLER,Num of TBs,Average TB Size,Num of New TBs,Num ACKs,TM mode distribution,Reporting Mode,CQI0/CQI1,PUCCH Tx power,Bytes Transferred,Sched Thrpt,PUSCH Thrpt,Retransmission Rate,Average TB Size,Number of TBs,TxPower,Num BPSK (LTE UL),Num ACKs,BPSK Rate,Network,Operator,Technology,Forcing,Data technology,Cell Id,MCC,MNC,MCC/MNC,LAC,BTS Cell Name,PCI,DL EARFCN,SINR1,SRxLev,SNonIntraSearch,TxPower,RSRQ,RSRP,RSSI,Battery temperature,Test KPI type,Test KPI avg,Test KPI worst,Test KPI best,Number of carriers DL,Average MCS Index,Transmission Mode,Num QPSK (LTE DL),Num 16QAM (LTE DL),Num 64QAM (LTE DL),QPSK Rate,16-QAM Rate,64-QAM Rate,Rank 1,Num of Recombined,Max Num of Layers,Num QPSK (LTE UL),Num 16QAM (LTE UL),Num 64QAM (LTE UL),Num NACKs,QPSK Rate,16-QAM Rate,64-QAM Rate,Max bit rate UL,Max bit rate DL,Guaranteed bit rate UL,Guaranteed bit rate DL,MaxTxPower,SIntraSearch,Num NACKs,Rank 2,BTS Cell Name 2
2020-01-27 11:22:49.235,,-86.4,-15.3,-49.4,4.2,493,2325,15,5006,2,0,-128,,,732/103,,,,,,,registered (normal service),,12,7,2,2,342,0,12,28.5,7,3,3 (100%),,,,,,,,,,,,,,Out of Service,,,LTE (Band VII - 2600),,,,,- / -,,,493,2325,-6.8,43,0,,-15.3,-86.4,-49.4,31.1,,,,,1,1.9,OL SM (3),12.0,0.0,0.0,100.0,0.0,0.0,100.0,0,4,,,,,,,,,,,,23,0,0,0.0,
2020-01-27 11:22:49.565,,-86.4,-15.3,-49.4,4.2,493,2325,15,5006,2,0,-128,,,732/103,,,,,,,registered (normal service),,12,7,2,2,342,0,12,28.5,7,3,3 (100%),,,,,,,,,,,,14,,Out of Service,,,LTE (Band VII - 2600),,,,,- / -,,,493,2325,-6.8,43,0,,-15.3,-86.4,-49.4,31.1,,,,,1,1.9,OL SM (3),12.0,0.0,0.0,100.0,0.0,0.0,100.0,0,4,,,,0,,,,,,,,23,0,0,0.0,
2020-01-27 11:22:49.585,,-86.7,-15.1,-50.2,5.0,493,2325,15,5006,2,0,-128,,,732/103,,,,"CP Normal (100%), CP Extended (0%)",,,registered (normal service),,12,7,2,2,342,0,12,28.5,7,3,3 (100%),,,,,,,,,,,,14,,Out of Service,,,LTE (Band VII - 2600),,,,,- / -,,,493,2325,-5.4,43,0,,-15.1,-86.7,-50.2,31.1,,,,,1,1.9,OL SM (3),12.0,0.0,0.0,100.0,0.0,0.0,100.0,0,4,,,,0,,,,,,,,23,0,0,0.0,
2020-01-27 11:22:49.680,,-86.7,-15.1,-50.2,5.0,493,2325,15,5006,2,0,-128,,,732/103,,,,"CP Normal (100%), CP Extended (0%)",,,registered (update needed),,12,7,2,2,342,0,12,28.5,7,3,3 (100%),,,,,,,,,,,,14,,Out of Service,,,LTE (Band VII - 2600),,,,,- / -,,,493,2325,-5.4,43,0,,-15.1,-86.7,-50.2,31.1,,,,,1,1.9,OL SM (3),12.0,0.0,0.0,100.0,0.0,0.0,100.0,0,4,,,,0,,,,,,,,23,0,0,0.0,
2020-01-27 11:22:49.690,,-86.7,-15.1,-50.2,5.0,493,2325,15,5006,2,0,-128,,,732/103,,,,"CP Normal (100%), CP Extended (0%)",,,registered (update needed),,12,7,2,2,342,0,12,28.5,7,3,3 (100%),,,,,,,,,,,,14,,Out of Service,,LTE,LTE (Band VII - 2600),LTE,,,,- / -,,,493,2325,-5.4,43,0,,-15.1,-86.7,-50.2,31.1,,,,,1,1.9,OL SM (3),12.0,0.0,0.0,100.0,0.0,0.0,100.0,0,4,,,,0,,,,,,,,23,0,0,0.0,
2020-01-27 11:22:49.690,,-86.7,-15.1,-50.2,5.0,493,2325,15,5006,2,0,-128,,,732/103,,,,"CP Normal (100%), CP Extended (0%)",,,registered (normal service),,12,7,2,2,342,0,12,28.5,7,3,3 (100%),,,,,,,,,,,,14,,Out of Service,,LTE,LTE (Band VII - 2600),LTE,,,,- / -,,,493,2325,-5.4,43,0,,-15.1,-86.7,-50.2,31.1,,,,,1,1.9,OL SM (3),12.0,0.0,0.0,100.0,0.0,0.0,100.0,0,4,,,,0,,,,,,,,23,0,0,0.0,
2020-01-27 11:22:49.860,,-86.7,-15.1,-50.2,5.0,493,2325,15,5006,2,0,-128,,,732/103,,,,"CP Normal (100%), CP Extended (0%)",,,registered (normal service),,12,7,2,2,342,0,12,28.5,7,3,3 (100%),,,,,,,,,,,,14,,Home network,TIGO,LTE,LTE (Band VII - 2600),LTE,,,,- / -,,,493,2325,-5.4,43,0,,-15.1,-86.7,-50.2,31.1,,,,,1,1.9,OL SM (3),12.0,0.0,0.0,100.0,0.0,0.0,100.0,0,4,,,,0,,,,,,,,23,0,0,0.0,
2020-01-27 11:22:49.980,,-86.7,-15.1,-50.2,5.0,493,2325,15,5006,2,0,-128,,,732/103,,,,"CP Normal (100%), CP Extended (0%)",,,registered (normal service),,12,7,2,2,342,0,12,28.5,7,3,3 (100%),,,,805,12,12,0,80,10,14,0.0,14,0.0,Home network,TIGO,LTE,LTE (Band VII - 2600),LTE,,,,- / -,,,493,2325,-5.4,43,0,14,-15.1,-86.7,-50.2,31.1,,,,,1,1.9,OL SM (3),12.0,0.0,0.0,100.0,0.0,0.0,100.0,0,4,1.0,9.0,0.0,0,10.0,90.0,0.0,,,,,23,0,0,0.0,
2020-01-27 11:22:49.985,,-86.7,-15.1,-50.2,5.0,493,2325,15,5006,2,0,-128,,,732/103,,,,"CP Normal (100%), CP Extended (0%)",,,registered (normal service),,12,7,2,2,342,0,12,28.5,7,7,3 (100%),,,,805,12,12,0,80,10,14,0.0,14,0.0,Home network,TIGO,LTE,LTE (Band VII - 2600),LTE,,,,- / -,,,493,2325,-5.4,43,0,14,-15.1,-86.7,-50.2,31.1,,,,,1,1.9,OL SM (3),12.0,0.0,0.0,100.0,0.0,0.0,100.0,0,4,1.0,9.0,0.0,0,10.0,90.0,0.0,,,,,23,0,0,0.0,
2020-01-27 11:22:50.5,,-86.7,-15.1,-50.2,5.0,493,2325,15,5006,2,0,-128,,,732/103,,,,"CP Normal (100%), CP Extended (0%)",,,registered (normal service),,14,10,8,8,595,0,14,42.5,14,7,3 (100%),,,,805,12,12,0,80,10,14,0.0,14,0.0,Home network,TIGO,LTE,LTE (Band VII - 2600),LTE,,,,- / -,,,493,2325,-5.4,43,0,14,-15.1,-86.7,-50.2,31.1,,,,,1,0.9,OL SM (3),14.0,0.0,0.0,100.0,0.0,0.0,100.0,0,4,1.0,9.0,0.0,0,10.0,90.0,0.0,,,,,23,0,0,0.0,
